GeneId	R1T0	R2T0	R3T0	R1T1	R2T1	R3T1	R1T2	R2T2	R3T2	R1T3	R2T3	R3T3	R1T4	R2T4	R3T4	R1T5	R2T5	R3T5	R1T6	R2T6	R3T6	R1T7	R2T7	R3T7	R1T8	R2T8	R3T8	R1T9	R2T9	R3T9	R1T10	R2T10	R3T10	R1T11	R2T11	R3T11	R1T12	R2T12	R3T12	
GENE55	37	41	36	39	38	38	37	39	36	37	38	37	39	39	37	38	39	38	40	38	37	35	38	35	35	39	39	42	38	41	41	38	43	41	40	42	43	42	43	
GENE56	34	34	39	38	38	38	34	35	38	39	37	37	36	37	36	39	34	39	39	37	37	36	37	37	39	38	38	38	38	38	40	39	40	41	41	39	44	41	42	
GENE57	45	41	41	41	46	45	41	42	43	44	43	46	42	44	43	43	42	43	45	39	42	43	41	41	45	46	45	45	47	42	46	47	46	48	47	48	48	47	48	
GENE58	30	27	30	26	26	25	30	27	25	28	28	25	26	27	28	27	27	28	28	27	27	30	25	27	32	25	30	28	29	29	29	32	28	32	32	32	32	31	34	
GENE59	29	31	30	29	28	33	30	29	28	30	31	31	28	31	29	30	28	29	30	30	28	31	31	33	29	31	30	31	34	30	31	33	34	36	34	33	36	37	35	
GENE60	29	27	28	25	27	26	29	24	27	27	30	26	24	24	24	27	27	27	27	27	29	26	27	28	29	30	28	28	30	31	31	30	31	31	36	32	32	28	30	
GENE61	33	36	34	35	34	35	37	34	36	34	34	36	35	32	35	33	35	35	36	35	37	34	34	36	36	35	35	37	37	38	38	39	39	39	37	40	38	43	40	
GENE62	29	33	27	30	34	33	31	31	30	32	31	32	32	32	31	32	33	34	31	31	33	31	31	31	33	33	33	35	35	35	35	38	33	38	34	36	39	38	38	
GENE63	37	36	37	35	35	40	38	37	37	41	35	38	36	37	39	39	38	37	37	36	39	36	38	38	42	38	38	39	40	39	38	41	45	43	43	41	43	44	44	
GENE64	45	45	43	45	43	43	42	42	44	43	43	44	44	45	47	45	43	42	40	43	42	45	44	44	47	45	44	47	45	46	46	47	45	47	47	46	48	49	46	
GENE65	42	44	41	42	44	44	39	41	41	43	44	42	43	42	43	44	45	42	43	42	40	41	45	41	44	45	45	46	46	45	44	49	45	48	47	48	51	48	48	
GENE66	32	34	32	32	28	32	31	31	29	33	32	30	30	32	31	31	31	33	33	31	31	30	30	32	34	30	33	32	31	33	37	32	34	35	36	33	37	37	35	
GENE67	44	45	45	46	45	46	44	42	45	46	45	46	45	46	47	47	44	48	48	45	45	46	46	46	44	45	49	48	48	48	48	50	48	49	54	48	54	54	49	
GENE68	36	38	37	36	38	35	35	35	38	37	38	37	37	39	37	37	37	35	38	38	39	37	38	38	39	39	39	39	35	40	38	39	41	40	38	41	42	42	41	
GENE69	39	38	39	37	38	38	36	36	35	38	37	38	36	37	37	38	38	36	38	37	39	37	38	36	37	40	38	39	42	39	41	40	39	40	41	39	43	40	41	
GENE70	36	38	36	37	35	35	38	38	35	36	35	37	35	36	38	37	40	38	39	34	37	37	39	38	38	38	38	40	38	38	41	42	42	39	39	39	40	45	46	
GENE71	39	43	38	38	39	41	40	40	38	36	41	41	42	37	40	38	41	37	39	40	38	39	38	37	43	37	41	43	39	43	43	44	45	40	43	43	41	44	44	
GENE72	41	42	39	38	39	37	41	39	40	41	43	40	40	39	37	39	38	39	39	39	40	40	38	39	42	42	40	42	40	41	41	46	43	41	45	42	44	43	42	
GENE73	43	47	43	43	44	45	43	43	46	47	43	45	43	42	44	43	45	43	44	44	43	45	43	41	46	47	43	48	43	46	49	46	50	47	49	46	50	48	48	
GENE74	35	37	37	36	36	35	38	37	37	35	37	36	37	39	38	34	35	34	37	34	34	35	34	37	39	38	36	38	39	36	40	41	41	39	41	39	41	41	42	
GENE75	38	36	36	37	39	36	32	37	38	37	36	36	35	39	37	37	36	36	35	36	36	35	38	40	39	37	38	39	40	40	41	40	39	39	40	40	40	43	41	
GENE76	39	38	36	37	38	37	38	37	37	37	36	39	40	37	35	36	40	39	36	39	40	38	37	40	41	37	38	42	41	40	42	39	40	43	41	44	43	42	42	
GENE77	28	29	29	28	28	34	28	29	29	30	29	29	31	28	29	28	29	30	30	29	30	27	28	30	29	30	30	31	31	33	31	31	32	32	33	34	34	35	32	
GENE78	43	44	43	43	43	43	44	42	43	42	43	43	43	42	43	47	44	44	45	42	43	43	41	44	44	43	46	44	44	47	45	46	46	51	47	45	46	50	49	
GENE79	46	44	47	46	47	45	44	44	44	44	45	48	47	47	47	45	44	47	44	46	46	46	48	47	44	47	47	46	48	49	49	48	49	46	53	48	54	51	52	
GENE80	32	35	34	33	33	38	33	34	37	35	35	34	33	36	35	33	34	33	32	34	34	38	34	35	35	38	38	36	35	37	37	37	36	41	40	40	40	41	42	
GENE81	37	38	34	36	38	37	37	39	35	36	38	37	38	36	36	36	33	37	36	36	37	40	36	39	38	39	37	39	38	41	40	38	40	43	38	38	42	43	47	
GENE82	39	41	39	38	43	41	40	41	41	42	37	36	41	42	42	44	39	40	39	39	42	39	39	41	41	38	40	41	43	44	41	40	44	44	44	43	46	46	44	
GENE83	47	47	46	47	46	46	48	44	43	46	46	50	48	47	45	46	45	46	47	46	46	46	46	47	45	47	49	48	46	48	49	49	47	50	49	51	49	51	46	
GENE84	42	43	44	45	40	42	44	43	43	43	41	45	43	44	43	43	45	44	43	45	45	45	46	41	45	45	45	45	44	48	47	46	50	49	48	47	47	48	48	
GENE85	25	27	28	24	26	24	27	27	28	26	27	27	31	29	28	25	27	26	27	28	27	28	28	26	27	28	30	30	30	28	29	30	28	32	30	30	31	31	34	
GENE86	40	43	43	44	41	43	44	43	42	43	42	40	43	43	43	43	44	42	44	42	40	42	43	41	42	42	41	45	45	45	47	44	46	43	46	46	45	45	47	
GENE87	42	43	41	45	42	42	40	43	43	41	41	45	41	42	43	42	41	43	43	39	40	40	42	43	43	42	41	43	45	43	43	46	45	49	41	45	47	48	47	
GENE88	25	25	25	26	28	31	26	26	28	28	27	29	22	26	27	28	25	27	27	27	24	23	29	28	28	28	27	29	27	29	29	35	30	31	32	34	31	32	33	
GENE89	32	33	32	34	33	30	32	31	35	31	33	33	35	30	31	34	33	32	35	34	32	33	29	33	34	33	35	36	36	36	39	37	35	36	38	36	40	38	39	
GENE90	42	41	44	42	42	44	45	41	46	42	44	42	44	41	44	43	45	44	42	46	42	45	43	43	42	45	47	43	43	49	45	44	49	45	46	47	46	47	48	
GENE91	44	42	46	46	41	46	44	42	45	44	44	46	46	46	44	47	46	44	47	46	45	48	48	48	45	46	46	46	47	50	49	48	48	47	49	51	51	51	52	
GENE92	38	35	38	35	35	34	36	37	34	37	39	38	35	38	33	34	37	37	37	37	36	36	35	34	39	36	41	39	36	36	37	39	40	38	40	41	43	42	42	
GENE93	41	42	42	42	42	44	43	41	44	40	39	41	40	40	39	39	40	39	39	41	38	44	42	43	44	42	41	42	42	42	41	43	46	45	46	43	48	45	47	
GENE94	40	40	41	40	37	43	37	39	40	39	39	38	41	41	36	39	41	38	40	38	41	38	41	39	41	37	39	41	39	40	42	44	42	44	41	41	44	45	45	
GENE95	40	40	38	37	38	41	37	38	37	37	36	37	38	37	36	39	36	38	38	38	37	37	41	38	39	37	39	39	38	42	41	40	42	40	40	43	43	44	42	
GENE96	43	40	41	41	42	41	42	39	40	40	40	42	41	40	40	42	41	42	41	40	42	40	40	43	41	42	43	41	43	42	43	43	44	47	46	46	47	47	45	
GENE97	43	43	44	43	46	44	42	47	42	43	45	43	43	44	43	41	43	44	46	43	43	44	43	42	44	45	43	46	45	44	47	46	47	50	47	51	47	51	48	
GENE98	37	34	36	35	34	34	35	32	35	37	35	34	35	35	37	33	33	33	32	33	32	33	35	33	37	37	36	38	36	35	39	35	40	37	38	39	38	39	37	
GENE99	41	42	40	42	42	40	42	40	40	41	44	43	41	39	39	40	42	41	41	39	42	41	41	40	41	41	43	45	41	46	44	47	44	45	45	44	50	46	45	
GENE100	35	34	33	36	34	36	36	35	35	34	35	34	34	36	35	36	36	35	36	37	36	38	38	37	36	34	36	35	36	39	36	39	38	40	36	37	40	39	38	
